instance,target,algorithm,seed,time_sec,hit,best_cost
instance-06.txt,513.0,GRASP_alpha0.1_sampled_greedy,0,0.0640,1,514.00
instance-06.txt,513.0,GRASP_alpha0.1_sampled_greedy,1,0.0373,1,514.00
instance-06.txt,513.0,GRASP_alpha0.1_sampled_greedy,2,600.0005,0,494.00
instance-06.txt,513.0,GRASP_alpha0.1_sampled_greedy,3,0.0335,1,514.00
instance-06.txt,513.0,GRASP_alpha0.1_sampled_greedy,4,600.0006,0,225.00
instance-06.txt,513.0,GRASP_alpha0.1_sampled_greedy,5,0.0631,1,514.00
instance-06.txt,513.0,GRASP_alpha0.1_sampled_greedy,6,0.1324,1,514.00
instance-06.txt,513.0,GRASP_alpha0.1_sampled_greedy,7,0.0469,1,514.00
instance-06.txt,513.0,GRASP_alpha0.1_sampled_greedy,8,0.0474,1,514.00
instance-06.txt,513.0,GRASP_alpha0.1_sampled_greedy,9,0.0723,1,514.00
instance-06.txt,513.0,GRASP_alpha0.1_sampled_greedy,10,0.0756,1,514.00
instance-06.txt,513.0,GRASP_alpha0.1_sampled_greedy,11,0.1678,1,514.00
instance-06.txt,513.0,GRASP_alpha0.1_sampled_greedy,12,600.0006,0,487.00
instance-06.txt,513.0,GRASP_alpha0.1_sampled_greedy,13,0.1179,1,514.00
instance-06.txt,513.0,GRASP_alpha0.1_sampled_greedy,14,0.1202,1,514.00
instance-06.txt,513.0,GRASP_alpha0.1_sampled_greedy,15,0.0432,1,514.00
instance-06.txt,513.0,GRASP_alpha0.1_sampled_greedy,16,0.0211,1,514.00
instance-06.txt,513.0,GRASP_alpha0.1_sampled_greedy,17,0.0542,1,514.00
instance-06.txt,513.0,GRASP_alpha0.1_sampled_greedy,18,0.0676,1,514.00
instance-06.txt,513.0,GRASP_alpha0.1_sampled_greedy,19,0.2228,1,514.00
instance-06.txt,513.0,GRASP_alpha0.1_sampled_greedy,20,0.0838,1,514.00
instance-06.txt,513.0,GRASP_alpha0.1_sampled_greedy,21,0.0705,1,514.00
instance-06.txt,513.0,GRASP_alpha0.1_sampled_greedy,22,600.0004,0,485.00
instance-06.txt,513.0,GRASP_alpha0.1_sampled_greedy,23,0.1437,1,514.00
instance-06.txt,513.0,GRASP_alpha0.1_sampled_greedy,24,0.2212,1,514.00
instance-06.txt,513.0,GRASP_alpha0.1_sampled_greedy,25,0.0438,1,514.00
instance-06.txt,513.0,GRASP_alpha0.1_sampled_greedy,26,0.0842,1,514.00
instance-06.txt,513.0,GRASP_alpha0.1_sampled_greedy,27,600.0003,0,485.00
instance-06.txt,513.0,GRASP_alpha0.1_sampled_greedy,28,0.0246,1,514.00
instance-06.txt,513.0,GRASP_alpha0.1_sampled_greedy,29,0.1229,1,514.00
instance-06.txt,513.0,GRASP_alpha0.1_sampled_greedy,30,0.1141,1,514.00
instance-06.txt,513.0,GRASP_alpha0.1_sampled_greedy,31,600.0004,0,477.00
instance-06.txt,513.0,GRASP_alpha0.1_sampled_greedy,32,0.1615,1,514.00
instance-06.txt,513.0,GRASP_alpha0.1_sampled_greedy,33,0.2905,1,514.00
instance-06.txt,513.0,GRASP_alpha0.1_sampled_greedy,34,0.1048,1,514.00
instance-06.txt,513.0,GRASP_alpha0.1_sampled_greedy,35,0.1097,1,514.00
instance-06.txt,513.0,GRASP_alpha0.1_sampled_greedy,36,0.0190,1,514.00
instance-06.txt,513.0,GRASP_alpha0.1_sampled_greedy,37,0.0566,1,514.00
instance-06.txt,513.0,GRASP_alpha0.1_sampled_greedy,38,0.2528,1,514.00
instance-06.txt,513.0,GRASP_alpha0.1_sampled_greedy,39,0.0458,1,514.00
instance-06.txt,513.0,GRASP_alpha0.1_sampled_greedy,40,0.2864,1,514.00
instance-06.txt,513.0,GRASP_alpha0.1_sampled_greedy,41,0.1410,1,514.00
instance-06.txt,513.0,GRASP_alpha0.1_sampled_greedy,42,0.1909,1,514.00
instance-06.txt,513.0,GRASP_alpha0.1_sampled_greedy,43,0.0956,1,514.00
instance-06.txt,513.0,GRASP_alpha0.1_sampled_greedy,44,0.2743,1,514.00
instance-06.txt,513.0,GRASP_alpha0.1_sampled_greedy,45,0.0350,1,514.00
instance-06.txt,513.0,GRASP_alpha0.1_sampled_greedy,46,0.0338,1,514.00
instance-06.txt,513.0,GRASP_alpha0.1_sampled_greedy,47,0.2181,1,514.00
instance-06.txt,513.0,GRASP_alpha0.1_sampled_greedy,48,0.0514,1,514.00
instance-06.txt,513.0,GRASP_alpha0.1_sampled_greedy,49,0.0374,1,514.00
