instance,target,algorithm,t,p,mu_hat,lambda_hat,total_runs,successes,success_rate,time_limit,normalize_by_total
instance-14.txt,14920.0,GRASP_alpha0.1_sampled_greedy,44.8744,0.02,38.61846278871266,267.79518330416226,50,20,0.4,600.0,True
instance-14.txt,14920.0,GRASP_alpha0.1_sampled_greedy,58.3828,0.04,38.61846278871266,267.79518330416226,50,20,0.4,600.0,True
instance-14.txt,14920.0,GRASP_alpha0.1_sampled_greedy,84.3923,0.06,38.61846278871266,267.79518330416226,50,20,0.4,600.0,True
instance-14.txt,14920.0,GRASP_alpha0.1_sampled_greedy,102.6213,0.08,38.61846278871266,267.79518330416226,50,20,0.4,600.0,True
instance-14.txt,14920.0,GRASP_alpha0.1_sampled_greedy,103.2005,0.1,38.61846278871266,267.79518330416226,50,20,0.4,600.0,True
instance-14.txt,14920.0,GRASP_alpha0.1_sampled_greedy,125.3132,0.12,38.61846278871266,267.79518330416226,50,20,0.4,600.0,True
instance-14.txt,14920.0,GRASP_alpha0.1_sampled_greedy,132.7943,0.14,38.61846278871266,267.79518330416226,50,20,0.4,600.0,True
instance-14.txt,14920.0,GRASP_alpha0.1_sampled_greedy,139.2495,0.16,38.61846278871266,267.79518330416226,50,20,0.4,600.0,True
instance-14.txt,14920.0,GRASP_alpha0.1_sampled_greedy,143.5187,0.18,38.61846278871266,267.79518330416226,50,20,0.4,600.0,True
instance-14.txt,14920.0,GRASP_alpha0.1_sampled_greedy,150.4338,0.2,38.61846278871266,267.79518330416226,50,20,0.4,600.0,True
instance-14.txt,14920.0,GRASP_alpha0.1_sampled_greedy,174.3645,0.22,38.61846278871266,267.79518330416226,50,20,0.4,600.0,True
instance-14.txt,14920.0,GRASP_alpha0.1_sampled_greedy,193.1688,0.24,38.61846278871266,267.79518330416226,50,20,0.4,600.0,True
instance-14.txt,14920.0,GRASP_alpha0.1_sampled_greedy,204.4405,0.26,38.61846278871266,267.79518330416226,50,20,0.4,600.0,True
instance-14.txt,14920.0,GRASP_alpha0.1_sampled_greedy,260.113,0.28,38.61846278871266,267.79518330416226,50,20,0.4,600.0,True
instance-14.txt,14920.0,GRASP_alpha0.1_sampled_greedy,352.6673,0.3,38.61846278871266,267.79518330416226,50,20,0.4,600.0,True
instance-14.txt,14920.0,GRASP_alpha0.1_sampled_greedy,367.3888,0.32,38.61846278871266,267.79518330416226,50,20,0.4,600.0,True
instance-14.txt,14920.0,GRASP_alpha0.1_sampled_greedy,418.2105,0.34,38.61846278871266,267.79518330416226,50,20,0.4,600.0,True
instance-14.txt,14920.0,GRASP_alpha0.1_sampled_greedy,574.5459,0.36,38.61846278871266,267.79518330416226,50,20,0.4,600.0,True
instance-14.txt,14920.0,GRASP_alpha0.1_sampled_greedy,575.1142,0.38,38.61846278871266,267.79518330416226,50,20,0.4,600.0,True
instance-14.txt,14920.0,GRASP_alpha0.1_sampled_greedy,598.4131,0.4,38.61846278871266,267.79518330416226,50,20,0.4,600.0,True
