instance,target,algorithm,t,p,mu_hat,lambda_hat,total_runs,successes,success_rate,time_limit,normalize_by_total
instance-14.txt,14920.0,TS_t20_i1000,70.28243780136108,0.02,169.56272621673907,138.42571499788147,50,17,0.34,600.0,True
instance-14.txt,14920.0,TS_t20_i1000,80.21889090538025,0.04,169.56272621673907,138.42571499788147,50,17,0.34,600.0,True
instance-14.txt,14920.0,TS_t20_i1000,196.698557138443,0.06,169.56272621673907,138.42571499788147,50,17,0.34,600.0,True
instance-14.txt,14920.0,TS_t20_i1000,199.4935646057129,0.08,169.56272621673907,138.42571499788147,50,17,0.34,600.0,True
instance-14.txt,14920.0,TS_t20_i1000,202.0147659778595,0.1,169.56272621673907,138.42571499788147,50,17,0.34,600.0,True
instance-14.txt,14920.0,TS_t20_i1000,206.7270512580872,0.12,169.56272621673907,138.42571499788147,50,17,0.34,600.0,True
instance-14.txt,14920.0,TS_t20_i1000,228.24598097801208,0.14,169.56272621673907,138.42571499788147,50,17,0.34,600.0,True
instance-14.txt,14920.0,TS_t20_i1000,260.819616317749,0.16,169.56272621673907,138.42571499788147,50,17,0.34,600.0,True
instance-14.txt,14920.0,TS_t20_i1000,311.4287278652191,0.18,169.56272621673907,138.42571499788147,50,17,0.34,600.0,True
instance-14.txt,14920.0,TS_t20_i1000,317.6456859111786,0.2,169.56272621673907,138.42571499788147,50,17,0.34,600.0,True
instance-14.txt,14920.0,TS_t20_i1000,321.8588695526123,0.22,169.56272621673907,138.42571499788147,50,17,0.34,600.0,True
instance-14.txt,14920.0,TS_t20_i1000,327.73102831840515,0.24,169.56272621673907,138.42571499788147,50,17,0.34,600.0,True
instance-14.txt,14920.0,TS_t20_i1000,333.6835298538208,0.26,169.56272621673907,138.42571499788147,50,17,0.34,600.0,True
instance-14.txt,14920.0,TS_t20_i1000,476.935045003891,0.28,169.56272621673907,138.42571499788147,50,17,0.34,600.0,True
instance-14.txt,14920.0,TS_t20_i1000,484.9209623336792,0.3,169.56272621673907,138.42571499788147,50,17,0.34,600.0,True
instance-14.txt,14920.0,TS_t20_i1000,485.3641614913941,0.32,169.56272621673907,138.42571499788147,50,17,0.34,600.0,True
instance-14.txt,14920.0,TS_t20_i1000,509.8773250579834,0.34,169.56272621673907,138.42571499788147,50,17,0.34,600.0,True
