instance,target,algorithm,seed,time_sec,hit,best_cost
instance-08.txt,2267.0,GRASP_alpha0.1_sampled_greedy,0,0.7833,1,2267.00
instance-08.txt,2267.0,GRASP_alpha0.1_sampled_greedy,1,600.0011,0,2265.00
instance-08.txt,2267.0,GRASP_alpha0.1_sampled_greedy,2,2.4795,1,2267.00
instance-08.txt,2267.0,GRASP_alpha0.1_sampled_greedy,3,600.0012,0,2265.00
instance-08.txt,2267.0,GRASP_alpha0.1_sampled_greedy,4,600.0013,0,2265.00
instance-08.txt,2267.0,GRASP_alpha0.1_sampled_greedy,5,5.9043,1,2267.00
instance-08.txt,2267.0,GRASP_alpha0.1_sampled_greedy,6,600.0011,0,2264.00
instance-08.txt,2267.0,GRASP_alpha0.1_sampled_greedy,7,0.5480,1,2267.00
instance-08.txt,2267.0,GRASP_alpha0.1_sampled_greedy,8,600.0012,0,2265.00
instance-08.txt,2267.0,GRASP_alpha0.1_sampled_greedy,9,2.0513,1,2267.00
instance-08.txt,2267.0,GRASP_alpha0.1_sampled_greedy,10,11.4009,1,2267.00
instance-08.txt,2267.0,GRASP_alpha0.1_sampled_greedy,11,2.2155,1,2267.00
instance-08.txt,2267.0,GRASP_alpha0.1_sampled_greedy,12,1.1602,1,2267.00
instance-08.txt,2267.0,GRASP_alpha0.1_sampled_greedy,13,600.0013,0,241.00
instance-08.txt,2267.0,GRASP_alpha0.1_sampled_greedy,14,6.9408,1,2267.00
instance-08.txt,2267.0,GRASP_alpha0.1_sampled_greedy,15,1.0466,1,2267.00
instance-08.txt,2267.0,GRASP_alpha0.1_sampled_greedy,16,7.3045,1,2267.00
instance-08.txt,2267.0,GRASP_alpha0.1_sampled_greedy,17,1.8151,1,2267.00
instance-08.txt,2267.0,GRASP_alpha0.1_sampled_greedy,18,0.1549,1,2267.00
instance-08.txt,2267.0,GRASP_alpha0.1_sampled_greedy,19,3.1727,1,2267.00
instance-08.txt,2267.0,GRASP_alpha0.1_sampled_greedy,20,0.9736,1,2267.00
instance-08.txt,2267.0,GRASP_alpha0.1_sampled_greedy,21,0.8831,1,2267.00
instance-08.txt,2267.0,GRASP_alpha0.1_sampled_greedy,22,2.6065,1,2267.00
instance-08.txt,2267.0,GRASP_alpha0.1_sampled_greedy,23,0.6782,1,2267.00
instance-08.txt,2267.0,GRASP_alpha0.1_sampled_greedy,24,1.0117,1,2267.00
instance-08.txt,2267.0,GRASP_alpha0.1_sampled_greedy,25,0.7642,1,2267.00
instance-08.txt,2267.0,GRASP_alpha0.1_sampled_greedy,26,0.1654,1,2267.00
instance-08.txt,2267.0,GRASP_alpha0.1_sampled_greedy,27,600.0009,0,2264.00
instance-08.txt,2267.0,GRASP_alpha0.1_sampled_greedy,28,1.3198,1,2267.00
instance-08.txt,2267.0,GRASP_alpha0.1_sampled_greedy,29,600.0010,0,165.00
instance-08.txt,2267.0,GRASP_alpha0.1_sampled_greedy,30,4.1237,1,2267.00
instance-08.txt,2267.0,GRASP_alpha0.1_sampled_greedy,31,0.5646,1,2267.00
instance-08.txt,2267.0,GRASP_alpha0.1_sampled_greedy,32,2.7367,1,2267.00
instance-08.txt,2267.0,GRASP_alpha0.1_sampled_greedy,33,1.0611,1,2267.00
instance-08.txt,2267.0,GRASP_alpha0.1_sampled_greedy,34,600.0008,0,2264.00
instance-08.txt,2267.0,GRASP_alpha0.1_sampled_greedy,35,0.1993,1,2267.00
instance-08.txt,2267.0,GRASP_alpha0.1_sampled_greedy,36,5.3797,1,2267.00
instance-08.txt,2267.0,GRASP_alpha0.1_sampled_greedy,37,3.5563,1,2267.00
instance-08.txt,2267.0,GRASP_alpha0.1_sampled_greedy,38,1.5673,1,2267.00
instance-08.txt,2267.0,GRASP_alpha0.1_sampled_greedy,39,600.0005,0,2265.00
instance-08.txt,2267.0,GRASP_alpha0.1_sampled_greedy,40,0.8987,1,2267.00
instance-08.txt,2267.0,GRASP_alpha0.1_sampled_greedy,41,6.7723,1,2267.00
instance-08.txt,2267.0,GRASP_alpha0.1_sampled_greedy,42,600.0011,0,2265.00
instance-08.txt,2267.0,GRASP_alpha0.1_sampled_greedy,43,0.7782,1,2267.00
instance-08.txt,2267.0,GRASP_alpha0.1_sampled_greedy,44,1.0621,1,2267.00
instance-08.txt,2267.0,GRASP_alpha0.1_sampled_greedy,45,0.5845,1,2267.00
instance-08.txt,2267.0,GRASP_alpha0.1_sampled_greedy,46,1.3067,1,2267.00
instance-08.txt,2267.0,GRASP_alpha0.1_sampled_greedy,47,2.6252,1,2267.00
instance-08.txt,2267.0,GRASP_alpha0.1_sampled_greedy,48,0.2169,1,2267.00
instance-08.txt,2267.0,GRASP_alpha0.1_sampled_greedy,49,0.6762,1,2267.00
instance-08.txt,2267.0,GA_pop100_mut0.01_gen1000,0,330.9561,0,2265.00
instance-08.txt,2267.0,GA_pop100_mut0.01_gen1000,1,332.7256,0,2264.00
instance-08.txt,2267.0,GA_pop100_mut0.01_gen1000,2,330.1090,0,2265.00
instance-08.txt,2267.0,GA_pop100_mut0.01_gen1000,3,314.6862,0,2265.00
instance-08.txt,2267.0,GA_pop100_mut0.01_gen1000,4,289.4854,0,2265.00
instance-08.txt,2267.0,GA_pop100_mut0.01_gen1000,5,277.4853,0,2265.00
instance-08.txt,2267.0,GA_pop100_mut0.01_gen1000,6,277.6369,0,2265.00
instance-08.txt,2267.0,GA_pop100_mut0.01_gen1000,7,48.6161,1,2267.00
instance-08.txt,2267.0,GA_pop100_mut0.01_gen1000,8,271.5777,0,2265.00
instance-08.txt,2267.0,GA_pop100_mut0.01_gen1000,9,275.8637,0,2265.00
instance-08.txt,2267.0,GA_pop100_mut0.01_gen1000,10,277.3982,0,2265.00
instance-08.txt,2267.0,GA_pop100_mut0.01_gen1000,11,279.4269,0,2265.00
instance-08.txt,2267.0,GA_pop100_mut0.01_gen1000,12,272.7301,0,2253.00
instance-08.txt,2267.0,GA_pop100_mut0.01_gen1000,13,33.5255,1,2267.00
instance-08.txt,2267.0,GA_pop100_mut0.01_gen1000,14,286.7503,0,2265.00
instance-08.txt,2267.0,GA_pop100_mut0.01_gen1000,15,230.7087,1,2267.00
instance-08.txt,2267.0,GA_pop100_mut0.01_gen1000,16,24.8660,1,2267.00
instance-08.txt,2267.0,GA_pop100_mut0.01_gen1000,17,276.4723,0,2265.00
instance-08.txt,2267.0,GA_pop100_mut0.01_gen1000,18,279.4227,0,2265.00
instance-08.txt,2267.0,GA_pop100_mut0.01_gen1000,19,276.9417,0,2265.00
instance-08.txt,2267.0,GA_pop100_mut0.01_gen1000,20,28.5814,1,2267.00
instance-08.txt,2267.0,GA_pop100_mut0.01_gen1000,21,290.6008,0,2265.00
instance-08.txt,2267.0,GA_pop100_mut0.01_gen1000,22,283.0531,0,2265.00
instance-08.txt,2267.0,GA_pop100_mut0.01_gen1000,23,280.3544,0,2254.00
instance-08.txt,2267.0,GA_pop100_mut0.01_gen1000,24,287.4512,0,2265.00
instance-08.txt,2267.0,GA_pop100_mut0.01_gen1000,25,292.4123,0,2265.00
instance-08.txt,2267.0,GA_pop100_mut0.01_gen1000,26,287.7037,0,2265.00
instance-08.txt,2267.0,GA_pop100_mut0.01_gen1000,27,293.3967,0,2264.00
instance-08.txt,2267.0,GA_pop100_mut0.01_gen1000,28,283.5266,0,2265.00
instance-08.txt,2267.0,GA_pop100_mut0.01_gen1000,29,205.2334,1,2267.00
instance-08.txt,2267.0,GA_pop100_mut0.01_gen1000,30,272.2862,0,2265.00
instance-08.txt,2267.0,GA_pop100_mut0.01_gen1000,31,85.7680,1,2267.00
instance-08.txt,2267.0,GA_pop100_mut0.01_gen1000,32,277.3222,0,2265.00
instance-08.txt,2267.0,GA_pop100_mut0.01_gen1000,33,279.6881,0,2265.00
instance-08.txt,2267.0,GA_pop100_mut0.01_gen1000,34,274.6456,0,2265.00
instance-08.txt,2267.0,GA_pop100_mut0.01_gen1000,35,274.8145,0,2264.00
instance-08.txt,2267.0,GA_pop100_mut0.01_gen1000,36,275.7272,0,2265.00
instance-08.txt,2267.0,GA_pop100_mut0.01_gen1000,37,143.2518,1,2267.00
instance-08.txt,2267.0,GA_pop100_mut0.01_gen1000,38,273.2841,0,2265.00
instance-08.txt,2267.0,GA_pop100_mut0.01_gen1000,39,275.1377,0,2254.00
instance-08.txt,2267.0,GA_pop100_mut0.01_gen1000,40,276.8609,0,2265.00
instance-08.txt,2267.0,GA_pop100_mut0.01_gen1000,41,279.3912,0,2265.00
instance-08.txt,2267.0,GA_pop100_mut0.01_gen1000,42,283.2249,0,2265.00
instance-08.txt,2267.0,GA_pop100_mut0.01_gen1000,43,51.5692,1,2267.00
instance-08.txt,2267.0,GA_pop100_mut0.01_gen1000,44,277.0374,0,2265.00
instance-08.txt,2267.0,GA_pop100_mut0.01_gen1000,45,279.5709,0,2265.00
instance-08.txt,2267.0,GA_pop100_mut0.01_gen1000,46,284.7975,0,2265.00
instance-08.txt,2267.0,GA_pop100_mut0.01_gen1000,47,277.0462,0,2265.00
instance-08.txt,2267.0,GA_pop100_mut0.01_gen1000,48,168.4223,1,2267.00
instance-08.txt,2267.0,GA_pop100_mut0.01_gen1000,49,120.8753,1,2267.00
instance-08.txt,2267.0,TS_t20_i1000,0,34.31827211380005,1,2267.0
instance-08.txt,2267.0,TS_t20_i1000,1,4.006471157073975,1,2267.0
instance-08.txt,2267.0,TS_t20_i1000,2,36.15878176689148,1,2267.0
