instance,target,algorithm,seed,time_sec,hit,best_cost
instance-06,513.0,TS_t20_i1000,0,1.3887882232666016,1,514.0
instance-06,513.0,TS_t20_i1000,1,1.5995502471923828,1,514.0
instance-06,513.0,TS_t20_i1000,2,1.3261291980743408,1,514.0
instance-06,513.0,TS_t20_i1000,3,1.3625035285949707,1,514.0
instance-06,513.0,TS_t20_i1000,4,1.2666733264923096,1,514.0
instance-06,513.0,TS_t20_i1000,5,1.2400472164154053,1,514.0
instance-06,513.0,TS_t20_i1000,6,1.1893565654754639,1,514.0
instance-06,513.0,TS_t20_i1000,7,1.2373549938201904,1,514.0
instance-06,513.0,TS_t20_i1000,8,1.3120689392089844,1,514.0
instance-06,513.0,TS_t20_i1000,9,1.1842689514160156,1,514.0
instance-06,513.0,TS_t20_i1000,10,1.2171776294708252,1,514.0
instance-06,513.0,TS_t20_i1000,11,1.2353465557098389,1,514.0
instance-06,513.0,TS_t20_i1000,12,1.1871776580810547,1,514.0
instance-06,513.0,TS_t20_i1000,13,-1.1253070831298828,1,514.0
instance-06,513.0,TS_t20_i1000,14,1.2170660495758057,1,514.0
instance-06,513.0,TS_t20_i1000,15,1.2108738422393799,1,514.0
instance-06,513.0,TS_t20_i1000,16,1.1717021465301514,1,514.0
instance-06,513.0,TS_t20_i1000,17,1.0838713645935059,1,514.0
instance-06,513.0,TS_t20_i1000,18,1.1463255882263184,1,514.0
instance-06,513.0,TS_t20_i1000,19,1.101008415222168,1,514.0
instance-06,513.0,TS_t20_i1000,20,1.2931523323059082,1,514.0
instance-06,513.0,TS_t20_i1000,21,1.4103343486785889,1,514.0
instance-06,513.0,TS_t20_i1000,22,1.25710129737854,1,514.0
instance-06,513.0,TS_t20_i1000,23,1.354797124862671,1,514.0
instance-06,513.0,TS_t20_i1000,24,1.218492031097412,1,514.0
instance-06,513.0,TS_t20_i1000,25,1.5137195587158203,1,514.0
instance-06,513.0,TS_t20_i1000,26,1.5525670051574707,1,514.0
instance-06,513.0,TS_t20_i1000,27,1.6190760135650635,1,514.0
instance-06,513.0,TS_t20_i1000,28,1.6124589443206787,1,514.0
instance-06,513.0,TS_t20_i1000,29,1.7102108001708984,1,514.0
instance-06,513.0,TS_t20_i1000,30,1.788844108581543,1,514.0
instance-06,513.0,TS_t20_i1000,31,2.0507969856262207,1,514.0
instance-06,513.0,TS_t20_i1000,32,1.7824740409851074,1,514.0
instance-06,513.0,TS_t20_i1000,33,1.5964951515197754,1,514.0
instance-06,513.0,TS_t20_i1000,34,-0.4273519515991211,1,514.0
instance-06,513.0,TS_t20_i1000,35,1.5801632404327393,1,514.0
instance-06,513.0,TS_t20_i1000,36,1.490487813949585,1,514.0
instance-06,513.0,TS_t20_i1000,37,1.512357234954834,1,514.0
instance-06,513.0,TS_t20_i1000,38,1.6294338703155518,1,514.0
instance-06,513.0,TS_t20_i1000,39,1.6465282440185547,1,514.0
instance-06,513.0,TS_t20_i1000,40,1.3855996131896973,1,514.0
instance-06,513.0,TS_t20_i1000,41,1.550241231918335,1,514.0
instance-06,513.0,TS_t20_i1000,42,2.182873487472534,1,514.0
instance-06,513.0,TS_t20_i1000,43,1.8355381488800049,1,514.0
instance-06,513.0,TS_t20_i1000,44,1.657073974609375,1,514.0
instance-06,513.0,TS_t20_i1000,45,2.844367265701294,1,514.0
instance-06,513.0,TS_t20_i1000,46,3.4189300537109375,1,514.0
instance-06,513.0,TS_t20_i1000,47,2.435258150100708,1,514.0
instance-06,513.0,TS_t20_i1000,48,1.7873589992523193,1,514.0
instance-06,513.0,TS_t20_i1000,49,2.0113961696624756,1,514.0
